baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G04187	157.867038942915	1.13456678855153	0.259398456751502	4.37383785069479	1.22081071609513e-05	0.00455256239649909
AT1G03982	269.943239481387	-1.1431207346676	0.312582029214145	-3.65702640532947	0.000255158104487429	0.0311159866661898
AT1G04370	149.740842455732	-1.41571252322232	0.37909924200638	-3.7344113792728	0.000188154729035415	0.0266011501802762
AT1G07180	1187.67280273614	-1.27034449912761	0.336315715115861	-3.77723799998457	0.000158577180794232	0.0238616926258269
AT1G09110	29.6584357688944	-1.80156930752487	0.472675259574741	-3.81143136018102	0.000138164422817274	0.0225882507868502
AT1G16400	618.147309241319	1.3472190695265	0.268118665259076	5.02471198051325	5.04188624981793e-07	0.000411569886004003
AT1G05557	273.747876028199	-1.01917264224296	0.251051435221	-4.05961687231855	4.91533007337299e-05	0.0113942664971135
AT1G20470	248.872665439364	-1.18223800675658	0.235184785878721	-5.02684730366117	4.98609057276725e-07	0.000411569886004003
AT1G23160	876.894642493647	-1.43302258961912	0.316808972860286	-4.52330177608663	6.08823376357785e-06	0.00274835689422143
AT1G27670	989.830466272001	-1.05835098363208	0.219120128623847	-4.8300034792737	1.36530664796365e-06	0.000836445365684588
AT1G30190	415.417138871623	-1.2991007287212	0.341687520820609	-3.80201397347269	0.000143524630273915	0.0230814516348632
AT1G44318	701.965102229385	-1.19843686080088	0.263953601975637	-4.54033152732464	5.61658428376442e-06	0.00258072018224183
AT1G47130	4750.84952918936	-1.11837043768096	0.282881333140359	-3.95349677288905	7.7017303160738e-05	0.0152626836371854
AT1G07493	45.9935227128795	-1.20490860141202	0.346699881339243	-3.47536490857068	0.000510158870425572	0.0472190571759726
AT1G49450	1614.94852870922	-1.23235809077325	0.330145624627019	-3.73277123440755	0.000189384586061718	0.0266287146664157
AT1G07657	396.968968348079	-1.1828995621551	0.209307020597033	-5.65150446832106	1.59049552174768e-08	3.72045820637178e-05
AT1G54950	22.017150619165	1.71114121887549	0.491625320750189	3.48057991859409	0.000500329533712968	0.0468105417560817
AT1G58050	24.9866687262353	-2.13783597986823	0.514940708695865	-4.1516157953068	3.30136154175711e-05	0.00900407871991257
AT1G64110	968.30366333451	-1.5522207015974	0.427456690340618	-3.63129350101064	0.000282004251767899	0.0329829609192718
AT1G65390	41565.910028771	-1.05433526658525	0.247701315334641	-4.25647827166707	2.07672209135006e-05	0.00662200738398911
AT1G66100	882.965069105129	-1.57718219082874	0.434051073639483	-3.63363273728179	0.000279458573697152	0.0328344683095955
AT1G67110	64.1583794558541	-1.49652535550512	0.395070831863711	-3.78799251882351	0.00015186942134994	0.023578285255998
AT1G08947	581.422805001952	1.1834682629421	0.317198544040117	3.73100156094168	0.000190720041809374	0.0266707467162881
AT1G69530	9050.31081337148	1.32255271263727	0.323129749996833	4.09294629371092	4.25926398834698e-05	0.0103872383551404
AT1G70420	28009.4938812158	-1.13749148683982	0.29998380183454	-3.79184302580184	0.000149533424670019	0.0235675410073363
AT1G71390	61.2450307343233	1.46485267567946	0.415826445774634	3.52275015349402	0.000427093776310272	0.0425951548768977
AT1G73120	1914.51246103631	-1.8430242635196	0.449542206134297	-4.09978026172032	4.13542599070288e-05	0.0102955894076
AT1G77885	7048.93324849924	-1.04539746531075	0.241592257728289	-4.32711492967821	1.51075142406821e-05	0.00532508834146564
AT1G78390	94.4192464261978	-1.68621320093063	0.414501824182962	-4.0680477203071	4.74086737548232e-05	0.0110897507671396
AT5G07480	21.2758743053271	-2.92005921141235	0.771911205792905	-3.78289522097672	0.000155014680464688	0.0236951630357063
AT5G11140	2076.19110391522	-1.45061597770876	0.2811843698466	-5.15894954794302	2.48339213315852e-07	0.000255600651913207
AT5G16980	3019.52506558643	-1.24532281852864	0.34836494201881	-3.57476504757302	0.000350542544097755	0.0369664352548334
AT5G20240	14679.6355146378	-1.35398974239638	0.329226187267371	-4.11264290254279	3.91155191768771e-05	0.00996516261326955
AT5G24210	11499.0379507103	1.65059666477334	0.425260200977068	3.88138053121587	0.000103865172659402	0.0180578024168857
AT5G04205	47.1597727297929	-1.48535579014053	0.401482885017521	-3.69967399749982	0.000215876592912667	0.0287475136772352
AT5G36140	590.755393247722	2.4227365195939	0.603648782190806	4.0134869663799	5.98283075252393e-05	0.0128286848410994
